year,state,sightings
97,TX,1
97,CA,1
97,TX,1
97,TX,1
97,NC,1
97,CO,1
97,OH,1
97,NC,1
97,VA,1
97,AL,1
97,TX,1
97,VA,1
97,TX,1
97,AL,1
97,AL,1
97,NH,1
97,VA,1
97,TN,1
97,AL,1
97,MS,1
97,VA,1
97,TX,1
97,IL,1
97,NLE,1
97,TX,1
97,WI,1
97,ME,1
97,MS,1
97,NLE,1
97,NJ,1
97,VT,1
97,AL,1
97,TX,1
97,TX,1
97,NLE,1
97,SC,1
97,SC,1
97,TX,1
97,IL,1
97,TX,1
97,VA,1
97,AL,1
97,NC,1
97,AL,1
97,SC,1
97,VA,1
97,VA,1
97,PA,1
97,NE,1
97,NY,1
97,NY,1
97,MD,1
97,WI,1
97,COA,1
97,VA,1
97,TX,1
97,MA,1
97,PA,1
97,FL,1
97,TX,1
97,CA,1
97,TX,1
97,LA,1
97,MN,1
97,PA,1
97,MN,1
97,TX,1
97,TX,1
97,TN,1
97,MN,1
97,SC,1
97,CO,1
97,WV,1
97,KS,1
97,ON,1
97,SC,1
97,NE,1
97,WI,1
97,TX,1
97,TN,1
97,NC,1
97,AL,1
97,PA,1
97,MD,1
97,SC,1
97,TX,1
97,VA,1
97,NY,1
97,TX,1
97,AL,1
97,WI,1
97,SC,1
97,ON,1
97,PA,1
97,COA,1
97,OH,1
97,PA,1
97,TN,1
97,TX,1
97,ON,1
97,NY,1
97,MD,1
97,CO,1
97,TX,1
97,TN,1
97,MD,1
97,PA,1
97,NY,1
97,OK,1
97,MA,1
97,TX,1
97,VA,1
97,TX,1
97,CA,1
97,AL,1
97,SC,1
97,TN,1
97,WI,1
97,PA,1
97,ON,1
97,NJ,1
97,OH,1
97,MI,1
97,MN,1
97,SC,1
97,TN,1
97,AL,1
97,GA,1
97,FL,1
97,CO,1
97,WI,1
97,TX,1
97,SC,1
97,NC,1
97,TN,1
97,SC,1
97,MD,1
97,NC,1
97,MN,1
97,NE,1
97,ME,1
97,SC,1
97,TN,1
97,TX,1
97,NC,1
97,NY,1
97,NH,1
97,PA,1
97,TN,1
97,SC,1
97,MA,1
97,PA,1
97,ON,1
97,NY,1
97,AR,1
97,SC,1
97,GA,1
97,ON,1
97,KS,1
97,TN,1
97,TX,1
97,TX,1
97,MI,1
97,SC,1
97,KS,1
97,TN,1
97,NY,1
97,VT,1
97,SC,1
97,NE,1
97,NH,1
97,MI,1
97,ON,1
97,MI,1
97,NC,1
97,TX,1
97,FL,1
97,NY,1
97,MN,1
97,ME,1
97,MS,1
97,SC,1
97,TX,1
97,NC,1
97,WI,1
97,ON,1
97,MN,1
97,NH,1
97,SC,1
97,TX,1
97,LA,1
97,TX,1
97,CA,1
97,MS,1
97,TN,1
97,NY,1
97,MI,1
97,TX,1
97,NE,1
97,OK,1
97,AR,1
97,MI,1
97,WV,1
97,OH,1
97,MI,1
97,NY,1
97,CA,1
97,IA,1
97,PA,1
97,TX,1
97,NY,1
97,TX,1
97,NJ,1
97,MS,1
97,IA,1
97,PA,1
97,CA,1
97,NY,1
97,KS,1
97,NJ,1
97,NY,1
97,NH,1
97,NY,1
97,MI,1
97,WV,1
97,CA,1
97,VT,1
97,SC,1
97,NY,1
97,FL,1
97,KS,1
97,KS,1
97,WI,1
97,NJ,1
97,TX,1
97,CO,1
97,NY,1
97,NC,1
97,NH,1
97,ME,1
97,NY,1
97,OK,1
97,AR,1
97,ON,1
97,TX,1
97,MN,1
97,LA,1
97,IA,1
97,OH,1
97,NY,1
97,MI,1
97,MN,1
97,MO,1
97,KS,1
97,NH,1
