Year,State,Avg
6,CO,0.0056999996
6,FL,0.015959222
6,MI,0.008100002
6,NY,0.0077099567
6,OH,0.0074877418
6,TX,0.011806073
6,WA,0.015122432
6,WI,0.010869565
6,CA,0.013829573
6,MD,0.017773606
6,DC,0.009710344
6,AZ,0.0025
6,IA,0.0061
6,SC,0.0025
7,CA,0.0145325465
7,FL,0.008557889
7,MI,0.007766833
7,NY,0.010901105
7,OH,0.009843776
7,TX,0.012253825
7,WA,0.009481558
7,WI,0.0052666673
7,CO,0.010363232
7,MD,0.021101233
7,DC,0.0025000004
8,CA,0.03500715
8,CO,0.018144445
8,FL,0.02150405
8,MD,0.023300014
8,MI,0.019973444
8,NY,0.01763162
8,OH,0.01947342
8,WA,0.019163828
8,TX,0.026486969
8,WI,0.015377272
8,IN,0.0044928575
8,VA,0.011992753
9,CA,0.044410285
9,CO,0.028482458
9,FL,0.03828187
9,MD,0.03627717
9,MI,0.035799235
9,NY,0.03918875
9,OH,0.04341534
9,TX,0.03823367
9,WA,0.055655662
9,WI,0.04306522
9,GA,0.0025
9,IL,0.0028454543
9,NC,0.013866667
9,VA,0.00809818
10,CA,0.03188236
10,CO,0.05318254
10,FL,0.07195565
10,MD,0.04837429
10,MI,0.058825474
10,NY,0.030407118
10,OH,0.057242196
10,TX,0.02542824
10,WA,0.03631813
10,WI,0.044174608
10,CT,0.01
10,NH,0.124
10,RI,0.025
10,VA,0.0254
10,AL,0.0103
10,GA,0.0025
10,IL,0.0031357144
10,KS,0.0103
10,LA,0.009889653
10,MN,0.0103
10,TN,0.015893748
10,NC,0.0103
11,CA,0.017873365
11,CO,0.016733963
11,FL,0.023408279
11,MD,0.022963883
11,MI,0.021302603
11,NY,0.018114438
11,OH,0.01652606
11,TX,0.026959179
11,WA,0.018357996
11,WI,0.026064813
11,NC,0.004571429
11,ID,0.031
11,VA,0.021241
11,LA,0.0033460003
11,TN,0.012057375
11,MT,0.010323
12,TX,0.022228817
12,CA,0.015227554
12,FL,0.019154133
12,MI,0.0201567
12,NY,0.01837898
12,WA,0.021154169
12,MD,0.020684209
12,OH,0.021902587
12,CO,0.014040738
12,WI,0.032296
12,DC,0.006
12,OR,0.013
12,VA,0.01
12,KY,0.0125
12,NC,0.0067272726
12,NJ,0.0072444445
12,PA,0.0076666675
12,MO,0.010527998
12,ND,0.008
13,MD,0.01977143
13,OH,0.015152174
13,CA,0.016584126
13,CO,0.017505264
13,FL,0.04276268
13,MI,0.01931719
13,NY,0.019475656
13,TX,0.027331783
13,NC,0.078
13,WA,0.025146667
13,WI,0.015345454
13,ND,0.017025001
14,CA,0.027748743
14,FL,0.0368853
14,MD,0.029904548
14,MI,0.03835676
14,NY,0.027304925
14,TX,0.033393756
14,WA,0.03796415
14,CO,0.03176154
14,OH,0.032348815
14,NC,0.021727271
15,CA,0.03400496
15,CO,0.039583333
15,FL,0.025620492
15,MD,0.03842336
15,MI,0.037209354
15,NY,0.026778277
15,OH,0.038482245
15,TX,0.031945314
15,WA,0.03063236
15,NC,0.013684211
16,CO,0.028680772
16,FL,0.041869286
16,MD,0.03737551
16,MI,0.03889169
16,NC,0.01098788
16,NY,0.029383633
16,TX,0.0322914
16,CA,0.025279101
16,OH,0.038362384
16,WA,0.0392367
17,CA,0.013529352
17,FL,0.014581914
17,MD,0.0120777795
17,MI,0.012945615
17,NC,0.007178124
17,NY,0.013476238
17,OH,0.01600164
17,TX,0.021798113
17,WA,0.015844995
17,CO,0.0108181825
18,CA,0.02399268
18,FL,0.018088799
18,MD,0.024618665
18,MI,0.02136072
18,NY,0.024477392
18,OH,0.019439796
18,TX,0.035638988
18,WA,0.022464287
18,CO,0.03397046
18,NC,0.01077966
19,CA,0.031928822
19,CO,0.72383213
19,FL,0.08603688
19,MD,0.17088805
19,NY,0.5128823
19,OH,0.71255386
19,TX,0.12715141
19,WA,0.44586885
19,MI,0.22977349
19,NC,0.010374469
20,CA,0.02061759
20,CO,0.025697896
20,FL,0.031836256
20,MD,0.01508426
20,MI,0.01834402
20,NY,0.018431677
20,OH,0.019728124
20,TX,0.016780982
20,WA,0.024453035
20,NC,0.0076200007
21,CA,0.017631384
21,CO,0.030046515
21,FL,0.019972498
21,MD,0.022066412
21,MI,0.021781571
21,NY,0.020925865
21,OH,0.020299025
21,TX,0.016652398
21,WA,0.020383095
22,CA,0.027156439
22,FL,0.033052113
22,MD,0.043096077
22,MI,0.03286026
22,NY,0.028232733
22,OH,0.03978425
22,TX,0.026794825
22,WA,0.044022217
22,CO,0.06829131
